tweet,tweet_non_emoticon,tweet_non_url,tweet_non_special_characters,tweet_non_numeric,tweet_non_double_space,tweet_lowercase,tweet_non_slang,tweet_non_stopwords,tweet_stemming,tweet_tokenize
"Pak, liat ini pak.  @jokowi @prabowo @Chilli_Pari @sandiuno @kaesangp @LuhutBinsar  https://youtu.be/qlB7vg4I-To    Tolong digajih team yg bikin film dokumenter sekeren ini😭  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((","Pak, liat ini pak.  @jokowi @prabowo @Chilli_Pari @sandiuno @kaesangp @LuhutBinsar  https://youtu.be/qlB7vg4I-To    Tolong digajih team yg bikin film dokumenter sekeren ini menangis keras  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((","Pak, liat ini pak.  @jokowi @prabowo @Chilli_Pari @sandiuno @kaesangp @LuhutBinsar      Tolong digajih team yg bikin film dokumenter sekeren ini menangis keras  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((",Pak liat ini pak  jokowi prabowo ChilliPari sandiuno kaesangp LuhutBinsar      Tolong digajih team yg bikin film dokumenter sekeren ini menangis keras  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu ,Pak liat ini pak  jokowi prabowo ChilliPari sandiuno kaesangp LuhutBinsar      Tolong digajih team yg bikin film dokumenter sekeren ini menangis keras  Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu ,Pak liat ini pak jokowi prabowo ChilliPari sandiuno kaesangp LuhutBinsar Tolong digajih team yg bikin film dokumenter sekeren ini menangis keras Bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu ,pak liat ini pak jokowi prabowo chillipari sandiuno kaesangp luhutbinsar tolong digajih team yg bikin film dokumenter sekeren ini menangis keras bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu ,pak lihat ini pak jokowi prabowo chillipari sandiuno kaesangp luhutbinsar tolong digajih team yang membuat film dokumenter sekeren ini menangis keras membuat menangis dan ngerasa bersalah sangat sering lupa pergi casan dan matiin lampu,lihat jokowi prabowo chillipari sandiuno kaesangp luhutbinsar tolong digajih team film dokumenter sekeren menangis keras menangis ngerasa bersalah lupa pergi casan matiin lampu,lihat jokowi prabowo chillipari sandiuno kaesangp luhutbinsar tolong gajih team film dokumenter keren menang keras menang ngerasa salah lupa pergi cas matiin lampu,"['lihat', 'jokowi', 'prabowo', 'chillipari', 'sandiuno', 'kaesangp', 'luhutbinsar', 'tolong', 'gajih', 'team', 'film', 'dokumenter', 'keren', 'menang', 'keras', 'menang', 'ngerasa', 'salah', 'lupa', 'pergi', 'cas', 'matiin', 'lampu']"
"Scope berpikir Anda kecil sekali. Yg pak jokowi mau tekankan bukan soal main gamenya, tapi ekosistemnya. Pemain ML, DOTA, FF, PUBG banyak sekali yg berbasis di Indo. Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini, (1)","Scope berpikir Anda kecil sekali. Yg pak jokowi mau tekankan bukan soal main gamenya, tapi ekosistemnya. Pemain ML, DOTA, FF, PUBG banyak sekali yg berbasis di Indo. Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini, (1)","Scope berpikir Anda kecil sekali. Yg pak jokowi mau tekankan bukan soal main gamenya, tapi ekosistemnya. Pemain ML, DOTA, FF, PUBG banyak sekali yg berbasis di Indo. Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini, (1)",Scope berpikir Anda kecil sekali Yg pak jokowi mau tekankan bukan soal main gamenya tapi ekosistemnya Pemain ML DOTA FF PUBG banyak sekali yg berbasis di Indo Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini 1,Scope berpikir Anda kecil sekali Yg pak jokowi mau tekankan bukan soal main gamenya tapi ekosistemnya Pemain ML DOTA FF PUBG banyak sekali yg berbasis di Indo Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini ,Scope berpikir Anda kecil sekali Yg pak jokowi mau tekankan bukan soal main gamenya tapi ekosistemnya Pemain ML DOTA FF PUBG banyak sekali yg berbasis di Indo Pak Jokowi mau tau apa tanggapan pak Prabowo soal potensi dr ekonomi kreatif ini ,scope berpikir anda kecil sekali yg pak jokowi mau tekankan bukan soal main gamenya tapi ekosistemnya pemain ml dota ff pubg banyak sekali yg berbasis di indo pak jokowi mau tau apa tanggapan pak prabowo soal potensi dr ekonomi kreatif ini ,scope berpikir kamu kecil sekali yang pak jokowi mau tekankan bukan soal main gamenya tapi ekosistemnya pemain ml dota ff pubg banyak sekali yang berbasis di indo pak jokowi mau tahu apa tanggapan pak prabowo soal potensi dari ekonomi kreatif ini,scope berpikir jokowi tekankan main gamenya ekosistemnya pemain ml dota ff pubg berbasis indo jokowi tanggapan prabowo potensi ekonomi kreatif,scope pikir jokowi tekan main gamenya ekosistem main ml dota ff pubg bas indo jokowi tanggap prabowo potensi ekonomi kreatif,"['scope', 'pikir', 'jokowi', 'tekan', 'main', 'gamenya', 'ekosistem', 'main', 'ml', 'dota', 'ff', 'pubg', 'bas', 'indo', 'jokowi', 'tanggap', 'prabowo', 'potensi', 'ekonomi', 'kreatif']"
Prabowo Sandi menyerahkan gajinya untuk anak yatim & kaum duafa.aamiin #GueKapokPilihJokowi,Prabowo Sandi menyerahkan gajinya untuk anak yatim & kaum duafa.aamiin #GueKapokPilihJokowi,Prabowo Sandi menyerahkan gajinya untuk anak yatim & kaum duafa.aamiin #GueKapokPilihJokowi,Prabowo Sandi menyerahkan gajinya untuk anak yatim  kaum duafaaamiin GueKapokPilihJokowi,Prabowo Sandi menyerahkan gajinya untuk anak yatim  kaum duafaaamiin GueKapokPilihJokowi,Prabowo Sandi menyerahkan gajinya untuk anak yatim kaum duafaaamiin GueKapokPilihJokowi,prabowo sandi menyerahkan gajinya untuk anak yatim kaum duafaaamiin guekapokpilihjokowi,prabowo sandi menyerahkan gajinya untuk anak yatim kaum duafaaamiin guekapokpilihjokowi,prabowo sandi menyerahkan gajinya anak yatim kaum duafaaamiin guekapokpilihjokowi,prabowo sandi serah gaji anak yatim kaum duafaaamiin guekapokpilihjokowi,"['prabowo', 'sandi', 'serah', 'gaji', 'anak', 'yatim', 'kaum', 'duafaaamiin', 'guekapokpilihjokowi']"
"Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro, yg dibahas udah derivatif ketiga, udh rata2 laju inflasi uang, bukan sekedar rakyat bisa beli spp ato gk.   Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya.","Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro, yg dibahas udah derivatif ketiga, udh rata2 laju inflasi uang, bukan sekedar rakyat bisa beli spp ato gk.   Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya.","Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro, yg dibahas udah derivatif ketiga, udh rata2 laju inflasi uang, bukan sekedar rakyat bisa beli spp ato gk.   Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya.",Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro yg dibahas udah derivatif ketiga udh rata2 laju inflasi uang bukan sekedar rakyat bisa beli spp ato gk   Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya,Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro yg dibahas udah derivatif ketiga udh rata laju inflasi uang bukan sekedar rakyat bisa beli spp ato gk   Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya,Mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro yg dibahas udah derivatif ketiga udh rata laju inflasi uang bukan sekedar rakyat bisa beli spp ato gk Klw mikirnya cuma sandang pangan papan Indonesia kapan majunya,mbak ini ekonomi yang ditopik jokowi pas itu ekonomi makro yg dibahas udah derivatif ketiga udh rata laju inflasi uang bukan sekedar rakyat bisa beli spp ato gk klw mikirnya cuma sandang pangan papan indonesia kapan majunya,mbak ini ekonomi yang ditopik jokowi saat itu ekonomi makro yang dibahas sudah derivatif ketiga sudah rata laju inflasi uang bukan sekedar rakyat bisa beli spp atau tidak kalau mikirnya cuma sandang pangan papan indonesia kapan majunya,mbak ekonomi ditopik jokowi ekonomi makro dibahas derivatif ketiga laju inflasi uang sekedar rakyat beli spp tidak mikirnya sandang pangan papan indonesia majunya,mbak ekonomi topik jokowi ekonomi makro bahas derivatif tiga laju inflasi uang dar rakyat beli spp tidak mikirnya sandang pangan papan indonesia maju,"['mbak', 'ekonomi', 'topik', 'jokowi', 'ekonomi', 'makro', 'bahas', 'derivatif', 'tiga', 'laju', 'inflasi', 'uang', 'dar', 'rakyat', 'beli', 'spp', 'tidak', 'mikirnya', 'sandang', 'pangan', 'papan', 'indonesia', 'maju']"
"Pak Dhe  @Jokowi mengingatkan, perbedaan, keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersama,Dasar negara kita Pancasila, NKRI, Bhinneka Tunggal Ika. UUD 1945. Sudah final. Harga mati dan tidak bisa diganggu gugat""  https://twitter.com/jokowi/status/1117268796916396034?s=19 …","Pak Dhe  @Jokowi mengingatkan, perbedaan, keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersama,Dasar negara kita Pancasila, NKRI, Bhinneka Tunggal Ika. UUD 1945. Sudah final. Harga mati dan tidak bisa diganggu gugat""  https://twitter.com/jokowi/status/1117268796916396034?s=19 …","Pak Dhe  @Jokowi mengingatkan, perbedaan, keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersama,Dasar negara kita Pancasila, NKRI, Bhinneka Tunggal Ika. UUD 1945. Sudah final. Harga mati dan tidak bisa diganggu gugat""   …",Pak Dhe  Jokowi mengingatkan perbedaan keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersamaDasar negara kita Pancasila NKRI Bhinneka Tunggal Ika UUD 1945 Sudah final Harga mati dan tidak bisa diganggu gugat   ,Pak Dhe  Jokowi mengingatkan perbedaan keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersamaDasar negara kita Pancasila NKRI Bhinneka Tunggal Ika UUD  Sudah final Harga mati dan tidak bisa diganggu gugat   ,Pak Dhe Jokowi mengingatkan perbedaan keragaman dan kebhinekaan Indonesia harus dijaga dan dirawat bersamaDasar negara kita Pancasila NKRI Bhinneka Tunggal Ika UUD Sudah final Harga mati dan tidak bisa diganggu gugat ,pak dhe jokowi mengingatkan perbedaan keragaman dan kebhinekaan indonesia harus dijaga dan dirawat bersamadasar negara kita pancasila nkri bhinneka tunggal ika uud sudah final harga mati dan tidak bisa diganggu gugat ,pak dhe jokowi mengingatkan perbedaan keragaman dan kebhinekaan indonesia harus dijaga dan dirawat bersamadasar negara kita pancasila nkri bhinneka tunggal ika uud sudah final harga mati dan tidak bisa diganggu gugat,dhe jokowi perbedaan keragaman kebhinekaan indonesia dijaga dirawat bersamadasar negara pancasila nkri bhinneka tunggal ika uud final harga mati tidak diganggu gugat,dhe jokowi beda ragam kebhinekaan indonesia jaga rawat bersamadasar negara pancasila nkri bhinneka tunggal ika uud final harga mati tidak ganggu gugat,"['dhe', 'jokowi', 'beda', 'ragam', 'kebhinekaan', 'indonesia', 'jaga', 'rawat', 'bersamadasar', 'negara', 'pancasila', 'nkri', 'bhinneka', 'tunggal', 'ika', 'uud', 'final', 'harga', 'mati', 'tidak', 'ganggu', 'gugat']"
"16rb kl anda bl di agen langsung,,malah dapet 15rb...  Kl gas 18rb itu dr agen ,ke konsumen .....artinya orang jualan ya pasti cr untung,,itu namane perputaran roda ekonomi🙏","16rb kl anda bl di agen langsung,,malah dapet 15rb...  Kl gas 18rb itu dr agen ,ke konsumen .....artinya orang jualan ya pasti cr untung,,itu namane perputaran roda ekonomi berdoa","16rb kl anda bl di agen langsung,,malah dapet 15rb...  Kl gas 18rb itu dr agen ,ke konsumen .....artinya orang jualan ya pasti cr untung,,itu namane perputaran roda ekonomi berdoa",16rb kl anda bl di agen langsungmalah dapet 15rb  Kl gas 18rb itu dr agen ke konsumen artinya orang jualan ya pasti cr untungitu namane perputaran roda ekonomi berdoa,rb kl anda bl di agen langsungmalah dapet rb  Kl gas rb itu dr agen ke konsumen artinya orang jualan ya pasti cr untungitu namane perputaran roda ekonomi berdoa,rb kl anda bl di agen langsungmalah dapet rb Kl gas rb itu dr agen ke konsumen artinya orang jualan ya pasti cr untungitu namane perputaran roda ekonomi berdoa,rb kl anda bl di agen langsungmalah dapet rb kl gas rb itu dr agen ke konsumen artinya orang jualan ya pasti cr untungitu namane perputaran roda ekonomi berdoa,ribu kalau kamu beli di agen langsungmalah dapat ribu kalau gas ribu itu dari agen ke konsumen artinya orang jualan iya pasti cara untungitu namane perputaran roda ekonomi berdoa,ribu beli agen langsungmalah ribu gas ribu agen konsumen orang jualan iya untungitu namane perputaran roda ekonomi berdoa,ribu beli agen langsungmalah ribu gas ribu agen konsumen orang jual iya untungitu namane putar roda ekonomi doa,"['ribu', 'beli', 'agen', 'langsungmalah', 'ribu', 'gas', 'ribu', 'agen', 'konsumen', 'orang', 'jual', 'iya', 'untungitu', 'namane', 'putar', 'roda', 'ekonomi', 'doa']"
Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka @jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi. #JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka @jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi. #JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka @jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi. #JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi JokowiMenangTotalDebat,anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi jokowimenangtotaldebat,anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi jokowimenangtotaldebat,anak muda berkecimpung dunia digital jokowi memperbaiki sistem ekonomi digital jokowimenangtotaldebat,anak muda kecimpung dunia digital jokowi baik sistem ekonomi digital jokowimenangtotaldebat,"['anak', 'muda', 'kecimpung', 'dunia', 'digital', 'jokowi', 'baik', 'sistem', 'ekonomi', 'digital', 'jokowimenangtotaldebat']"
Pertumbuhan ekonomi harus diimbangi dengan pemerataan. jokowi sekali lagi  pic.twitter.com/SGv0Izr459,Pertumbuhan ekonomi harus diimbangi dengan pemerataan. jokowi sekali lagi  pic.twitter.com/SGv0Izr459,Pertumbuhan ekonomi harus diimbangi dengan pemerataan. jokowi sekali lagi  ,Pertumbuhan ekonomi harus diimbangi dengan pemerataan jokowi sekali lagi  ,Pertumbuhan ekonomi harus diimbangi dengan pemerataan jokowi sekali lagi  ,Pertumbuhan ekonomi harus diimbangi dengan pemerataan jokowi sekali lagi ,pertumbuhan ekonomi harus diimbangi dengan pemerataan jokowi sekali lagi ,pertumbuhan ekonomi harus diimbangi dengan pemerataan jokowi sekali lagi,pertumbuhan ekonomi diimbangi pemerataan jokowi,tumbuh ekonomi imbang perata jokowi,"['tumbuh', 'ekonomi', 'imbang', 'perata', 'jokowi']"
"Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah. Bowo mengaku tdk menyalahkan Jokowi,ini merupakan salah semua pihak, termasuk kesalahan presiden sebelum Jokowi  https://bit.ly/2P9hitD  #PrabowoSalahkanSBY","Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah. Bowo mengaku tdk menyalahkan Jokowi,ini merupakan salah semua pihak, termasuk kesalahan presiden sebelum Jokowi  https://bit.ly/2P9hitD  #PrabowoSalahkanSBY","Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah. Bowo mengaku tdk menyalahkan Jokowi,ini merupakan salah semua pihak, termasuk kesalahan presiden sebelum Jokowi    #PrabowoSalahkanSBY",Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah Bowo mengaku tdk menyalahkan Jokowiini merupakan salah semua pihak termasuk kesalahan presiden sebelum Jokowi    PrabowoSalahkanSBY,Ardy merespon pernyataan yang dilontarkan capres  saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah Bowo mengaku tdk menyalahkan Jokowiini merupakan salah semua pihak termasuk kesalahan presiden sebelum Jokowi    PrabowoSalahkanSBY,Ardy merespon pernyataan yang dilontarkan capres saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah Bowo mengaku tdk menyalahkan Jokowiini merupakan salah semua pihak termasuk kesalahan presiden sebelum Jokowi PrabowoSalahkanSBY,ardy merespon pernyataan yang dilontarkan capres saat berdebat soal kondisi ekonomi indonesia yang dinilainya slah bowo mengaku tdk menyalahkan jokowiini merupakan salah semua pihak termasuk kesalahan presiden sebelum jokowi prabowosalahkansby,ardy merespon pernyataan yang dilontarkan capres saat berdebat soal kondisi ekonomi indonesia yang dinilainya slah bowo mengaku tidak menyalahkan jokowiini merupakan salah semua pihak termasuk kesalahan presiden sebelum jokowi prabowosalahkansby,ardy merespon pernyataan dilontarkan capres berdebat kondisi ekonomi indonesia dinilainya slah bowo mengaku tidak menyalahkan jokowiini salah kesalahan presiden jokowi prabowosalahkansby,ardy merespon nyata lontar capres debat kondisi ekonomi indonesia nila slah bowo aku tidak salah jokowiini salah salah presiden jokowi prabowosalahkansby,"['ardy', 'merespon', 'nyata', 'lontar', 'capres', 'debat', 'kondisi', 'ekonomi', 'indonesia', 'nila', 'slah', 'bowo', 'aku', 'tidak', 'salah', 'jokowiini', 'salah', 'salah', 'presiden', 'jokowi', 'prabowosalahkansby']"
Prabowo-Sandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji  https://www.gardaindonews.com/prabowo-sandi-komitmen-jika-terpilih-sebagai-kepala-negara-tidak-akan-ambil-gaji/ …,Prabowo-Sandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji  https://www.gardaindonews.com/prabowo-sandi-komitmen-jika-terpilih-sebagai-kepala-negara-tidak-akan-ambil-gaji/ …,Prabowo-Sandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji   …,PrabowoSandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji   ,PrabowoSandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji   ,PrabowoSandi Komitmen Jika Terpilih Sebagai Kepala Negara Tidak Akan Ambil Gaji ,prabowosandi komitmen jika terpilih sebagai kepala negara tidak akan ambil gaji ,prabowosandi komitmen jika terpilih sebagai kepala negara tidak akan ambil gaji,prabowosandi komitmen terpilih kepala negara tidak ambil gaji,prabowosandi komitmen pilih kepala negara tidak ambil gaji,"['prabowosandi', 'komitmen', 'pilih', 'kepala', 'negara', 'tidak', 'ambil', 'gaji']"
